,Date,Time,Weather & Air Temp:,Water Temp:,Tide Times,Tide is moving,DO,pH,Salinity,Turbidity,# student seiners (CLASSES ONLY),# of visitors (Public Seine ONLY),Instructors/ Seine Staff:,# Hauls,Scientific Name,Common Name,Quantity,# Brought to Ed Center,"Other info (Gender, Length, Dead/Alive, other physical description)",NOTES FROM SEINEING SEASON:,Water Temp Probe,DO Probe,pH Probe,Salinity Probe,Turbidity (cm),Turbidity Probe (NTU),NOTES FROM SEINE:
329,2011-09-20,,,,,,,,,,,,,,,blue crab,3,,,,,,,,,,
330,2011-09-20,,,,,,,,,,,,,,,comb jellies,25,,,,,,,,,,
331,2011-09-20,,,,,,,,,,,,,,,green crab,2,,,,,,,,,,
332,2011-09-20,,,,,,,,,,,,,,,hermit crab,1,,,,,,,,,,
333,2011-09-20,,,,,,,,,,,,,,,hydromedusae,2,,,,,,,,,,
334,2011-09-20,,,,,,,,,,,,,,,moon jelly,1,,,,,,,,,,
335,2011-09-20,,,,,,,,,,,,,,,oyster,4,,,,,,,,,,
336,2011-09-20,,,,,,,,,,,,,,,oyster toadfish,1,,,,,,,,,,
337,2011-09-20,,,,,,,,,,,,,,,skillet fish,1,,,,,,,,,,
338,2011-09-20,,,,,,,,,,,,,,,snail,0,,,,,,,,,,
339,2011-09-20,,,,,,,,,,,,,,,striped bass,12,,,,,,,,,,
340,2011-09-26,,,,,,,,,,,,,,,anchovy,2,,,,,,,,,,
341,2011-09-26,,,,,,,,,,,,,,,Atlantic Silverside,5,,,,,,,,,,
342,2011-09-26,,,,,,,,,,,,,,,blue crab,2,,,,,,,,,,
343,2011-09-26,,,,,,,,,,,,,,,comb jellies,20,,,,,,,,,,
344,2011-09-26,,,,,,,,,,,,,,,flounder,2,,,,,,,,,,
345,2011-09-26,,,,,,,,,,,,,,,green crab,2,,,,,,,,,,
346,2011-09-26,,,,,,,,,,,,,,,hydromedusae,2,,,,,,,,,,
347,2011-09-26,,,,,,,,,,,,,,,moon jelly,15,,,,,,,,,,
348,2011-09-26,,,,,,,,,,,,,,,naked goby,1,,,,,,,,,,
349,2011-09-26,,,,,,,,,,,,,,,northern kingfish,1,,,,,,,,,,
350,2011-09-26,,,,,,,,,,,,,,,oyster,2,,,,,,,,,,
351,2011-09-26,,,,,,,,,,,,,,,sea squirt,50,,,,,,,,,,
352,2011-09-26,,,,,,,,,,,,,,,snail,50,,,,,,,,,,
353,2011-09-26,,,,,,,,,,,,,,,striped bass,4,,,,,,,,,,
354,2012-04-25,,,,,,,,,,,,,,,Shrimp (Shore and Mud),7,,,,,,,,,,
355,2012-04-25,,,,,,,,,,,,,,,Shrimp (Seven Spine),12,,,,,,,,,,
356,2012-04-25,,,,,,,,,,,,,,,Snail,2,,,,,,,,,,
357,2012-04-25,,,,,,,,,,,,,,,Striped Bass,1,,,,,,,,,,
358,2012-04-25,,,,,,,,,,,,,,,Turnicate,1,,,,,,,,,,
359,2012-05-16,,,,,,,,,,,,,,,Anchovy,7,,,,,,,,,,
360,2012-05-16,,,,,,,,,,,,,,,Atlantic Tomcod,4,,,,,,,,,,
361,2012-05-16,,,,,,,,,,,,,,,Green Crab (European),1,,,,,,,,,,
362,2012-05-16,,,,,,,,,,,,,,,Sea Squirt,50,,,,,,,,,,
363,2012-05-16,,,,,,,,,,,,,,,Shrimp (Shore and Mud),1,,,,,,,,,,
364,2012-05-16,,,,,,,,,,,,,,,Shrimp (Seven Spine),7,,,,,,,,,,
365,2012-05-16,,,,,,,,,,,,,,,Snail,6,,,,,,,,,,
366,2012-05-16,,,,,,,,,,,,,,,Spotted Hake,2,,,,,,,,,,
367,2012-05-16,,,,,,,,,,,,,,,Striped Bass,1,,,,,,,,,,
368,2012-05-19,,,,,,,,,,,,,,,Anchovy,15,,,,,,,,,,
369,2012-05-19,,,,,,,,,,,,,,,Green Crab (European),1,,,,,,,,,,
370,2012-05-19,,,,,,,,,,,,,,,Shrimp (Shore and Mud),2,,,,,,,,,,
371,2012-05-19,,,,,,,,,,,,,,,Shrimp (Seven Spine),7,,,,,,,,,,
372,2012-05-30,,,,,,,,,,,,,,,Atlantic Silverside,6,,,,,,,,,,
373,2012-05-30,,,,,,,,,,,,,,,Atlantic Tomcod,5,,,,,,,,,,
374,2012-05-30,,,,,,,,,,,,,,,Northern Pipefish,1,,,,,,,,,,
375,2012-05-30,,,,,,,,,,,,,,,Spotted Hake,1,,,,,,,,,,
376,2012-05-31,,,,,,,,,,,,,,,American Eel,1,,,,,,,,,,
377,2012-05-31,,,,,,,,,,,,,,,Atlantic Silverside,1,,,,,,,,,,
378,2012-05-31,,,,,,,,,,,,,,,Flounder,1,,,,,,,,,,
379,2012-05-31,,,,,,,,,,,,,,,Moon Jelly,1,,,,,,,,,,
380,2012-05-31,,,,,,,,,,,,,,,Northern Pipefish,1,,,,,,,,,,
381,2012-05-31,,,,,,,,,,,,,,,Shrimp (Shore and Mud),7,,,,,,,,,,
382,2012-05-31,,,,,,,,,,,,,,,Shrimp (Seven Spine),2,,,,,,,,,,
383,2012-05-31,,,,,,,,,,,,,,,Spotted Hake,1,,,,,,,,,,
384,2012-05-31,,,,,,,,,,,,,,,Striped Bass,1,,,,,,,,,,
385,2012-06-01,,,,,,,,,,,,,,,Atlantic Silverside,2,,,,,,,,,,
386,2012-06-01,,,,,,,,,,,,,,,Blue Crab,1,,,,,,,,,,
387,2012-06-01,,,,,,,,,,,,,,,Blue Fish,1,,,,,,,,,,
388,2012-06-01,,,,,,,,,,,,,,,Blue Mussel,1,,,,,,,,,,
389,2012-06-01,,,,,,,,,,,,,,,Snail,3,,,,,,,,,,
390,2012-06-02,,,,,,,,,,,,,,,Asian Shore Crab,3,,,,,,,,,,
391,2012-06-02,,,,,,,,,,,,,,,Atlantic Silverside,23,,,,,,,,,,
392,2012-06-02,,,,,,,,,,,,,,,Atlantic Tomcod,6,,,,,,,,,,
393,2012-06-02,,,,,,,,,,,,,,,Blue Back,1,,,,,,,,,,
394,2012-06-02,,,,,,,,,,,,,,,Blue Crab,1,,,,,,,,,,
395,2012-06-02,,,,,,,,,,,,,,,Comb Jelly,1,,,,,,,,,,
396,2012-06-02,,,,,,,,,,,,,,,Flounder,5,,,,,,,,,,
397,2012-06-02,,,,,,,,,,,,,,,Green Crab (European),4,,,,,,,,,,
398,2012-06-02,,,,,,,,,,,,,,,Herring,8,,,,,,,,,,
399,2012-06-02,,,,,,,,,,,,,,,Northern Pipefish,2,,,,,,,,,,
400,2012-06-02,,,,,,,,,,,,,,,Ribbed Mussel,1,,,,,,,,,,
401,2012-06-02,,,,,,,,,,,,,,,Sand Worm,1,,,,,,,,,,
402,2012-06-02,,,,,,,,,,,,,,,Shrimp (Shore and Mud),5,,,,,,,,,,
403,2012-06-02,,,,,,,,,,,,,,,Shrimp (Seven Spine),3,,,,,,,,,,
404,2012-06-02,,,,,,,,,,,,,,,Snail,2,,,,,,,,,,
405,2012-06-02,,,,,,,,,,,,,,,Spotted Hake,2,,,,,,,,,,
406,2012-06-14,,,,,,,,,,,,,,,Atlantic Tomcod,19,,,,,,,,,,
407,2012-06-14,,,,,,,,,,,,,,,Blue Crab,2,,,,,,,,,,
408,2012-06-14,,,,,,,,,,,,,,,Ctenophore,2,,,,,,,,,,
409,2012-06-14,,,,,,,,,,,,,,,Flounder,2,,,,,,,,,,
410,2012-06-14,,,,,,,,,,,,,,,Shrimp (Seven Spine),1,,,,,,,,,,
411,2012-07-31,,,,,,,,,,,,,,,Atlantic Silverside,50+,,,,,,,,,,
412,2012-07-31,,,,,,,,,,,,,,,Blue Back,1,,,,,,,,,,
413,2012-07-31,,,,,,,,,,,,,,,Blue Fish,1,,,,,,,,,,
414,2012-07-31,,,,,,,,,,,,,,,Comb Jelly,25+,,,,,,,,,,
415,2012-07-31,,,,,,,,,,,,,,,Northern Puffer,1,,,,,,,,,,
416,2012-07-31,,,,,,,,,,,,,,,Sea Squirt,3,,,,,,,,,,
417,2012-08-14,,,,,,,,,,,,,,,Anchovy,1,,,,,,,,,,
418,2012-08-14,,,,,,,,,,,,,,,Atlantic Silverside,14,,,,,,,,,,
419,2012-08-14,,,,,,,,,,,,,,,Ctenophore,20,,,,,,,,,,
420,2012-08-14,,,,,,,,,,,,,,,Comb Jelly,50,,,,,,,,,,
421,2012-08-14,,,,,,,,,,,,,,,Northern Pipefish,1,,,,,,,,,,
422,2012-08-15,,,,,,,,,,,,,,,Asian Shore Crab,2,,,,,,,,,,
423,2012-08-15,,,,,,,,,,,,,,,Atlantic Silverside,35,,,,,,,,,,
424,2012-08-15,,,,,,,,,,,,,,,Ctenophore,10,,,,,,,,,,
425,2012-08-15,,,,,,,,,,,,,,,Comb Jelly,20+,,,,,,,,,,
426,2012-08-15,,,,,,,,,,,,,,,Green Crab (European),1,,,,,,,,,,
427,2012-09-15,,,,,,,,,,,,,,,Asian Shore Crab,3,,,,,,,,,,
428,2012-09-15,,,,,,,,,,,,,,,Blue Crab,3,,,,,,,,,,
429,2012-09-15,,,,,,,,,,,,,,,Comb Jelly,20,,,,,,,,,,
430,2012-09-15,,,,,,,,,,,,,,,Hermit Crab,3,,,,,,,,,,
431,2012-09-15,,,,,,,,,,,,,,,Oyster Toadfish,1,,,,,,,,,,
432,2012-09-15,,,,,,,,,,,,,,,Sea Squirt,10,,,,,,,,,,
433,2012-09-15,,,,,,,,,,,,,,,Shrimp (Shore and Mud),4,,,,,,,,,,
434,2012-09-15,,,,,,,,,,,,,,,Northern Stargazer,1,,,,,,,,,,
435,2012-09-15,,,,,,,,,,,,,,,skillet fish,1,,,,,,,,,,
436,2012-09-15,,,,,,,,,,,,,,,Porgy/scup,1,,,,,,,,,,
437,2012-09-27,,,,,,,,,,,,,,,Atlantic Silverside,6,,,,,,,,,,
438,2012-09-27,,,,,,,,,,,,,,,Blue Crab,1,,,,,,,,,,
439,2012-09-27,,,,,,,,,,,,,,,Comb Jelly,15,,,,,,,,,,
440,2012-09-27,,,,,,,,,,,,,,,Oyster Toadfish,1,,,,,,,,,,
441,2012-09-27,,,,,,,,,,,,,,,Sea Squirt,5,,,,,,,,,,
442,2012-09-27,,,,,,,,,,,,,,,Porgy/scup,1,,,,,,,,,,
443,2012-09-27,,,,,,,,,,,,,,,Wrasel Sea Bass,3,,,,,,,,,,
444,2012-09-28,,,,,,,,,,,,,,,Atlantic Silverside,41,,,,,,,,,,
445,2012-09-28,,,,,,,,,,,,,,,Blue Crab,1,,,,,,,,,,
446,2012-09-28,,,,,,,,,,,,,,,Comb Jelly,4,,,,,,,,,,
447,2012-09-28,,,,,,,,,,,,,,,Sea Squirt,20,,,,,,,,,,
448,2012-09-28,,,,,,,,,,,,,,,Porgy/scup,1,,,,,,,,,,
449,2012-10-04,,,,,,,,,,,,,,,American Eel,1,,,,,,,,,,
450,2012-10-04,,,,,,,,,,,,,,,Atlantic Silverside,1,,,,,,,,,,
451,2012-10-04,,,,,,,,,,,,,,,Blue Fish,1,,,,,,,,,,
452,2012-10-04,,,,,,,,,,,,,,,Comb Jelly,1,,,,,,,,,,
453,2012-10-04,,,,,,,,,,,,,,,Snail,8,,,,,,,,,,
454,2012-10-04,,,,,,,,,,,,,,,White mullet,1,,,,,,,,,,
455,2012-10-10,,,,,,,,,,,,,,,Atlantic Silverside,1,,,,,,,,,,
456,2012-10-10,,,,,,,,,,,,,,,Blue Crab,3,,,,,,,,,,
457,2012-10-10,,,,,,,,,,,,,,,Comb Jelly,2,,,,,,,,,,
458,2012-10-10,,,,,,,,,,,,,,,Green Crab (European),1,,,,,,,,,,
459,2012-10-10,,,,,,,,,,,,,,,Hemigraphis Molt,1,,,,,,,,,,
460,2012-10-10,,,,,,,,,,,,,,,Snail,1,,,,,,,,,,
461,2012-10-10,,,,,,,,,,,,,,,White mullet,1,,,,,,,,,,
462,2012-10-10,,,,,,,,,,,,,,,Cunner,1,,,,,,,,,,
463,2012-10-10,,,,,,,,,,,,,,,Silver Perch,1,,,,,,,,,,
464,2012-10-10,,,,,,,,,,,,,,,white fingered mud crab,1,,,,,,,,,,
465,2013-06-04,,,,,,,,,,,,,,,Blueback herring,1,,,,,,,,,,
466,2013-06-04,,,,,,,,,,,,,,,Bay anchovy,1,,,,,,,,,,
467,2013-06-04,,,,,,,,,,,,,,,Summer flounder,1,,,,,,,,,,
468,2013-06-04,,,,,,,,,,,,,,,glass shrimp,1,,,,,,,,,,
469,2013-06-04,,,,,,,,,,,,,,,asian shore crab,1,,,,,,,,,,
470,2013-06-04,,,,,,,,,,,,,,,comb jellies,15,,,,,,,,,,
471,2013-06-04,,,,,,,,,,,,,,,golden star tunicate,1 clump,,,,,,,,,,
472,2013-06-04,,,,,,,,,,,,,,,sea squirt/solitary tunicate,1,,,,,,,,,,
473,2013-06-17,10 am - 1 pm,"Sunny, 80s",,,,,,,,,,,,,American eel,1,,,,,,,,,,
474,2013-06-17,10 am - 1 pm,"Sunny, 80s",,,,,,,,,,,,,Atlantic Silverside,20,,,,,,,,,,
475,2013-06-17,10 am - 1 pm,"Sunny, 80s",,,,,,,,,,,,,Comb jellies,50,,,,,,,,,,
476,2013-06-17,10 am - 1 pm,"Sunny, 80s",,,,,,,,,,,,,Shrimp,1,,,,,,,,,,
477,2013-06-18,,,,,,,,,,,,,,,bluefish (juvenile),30,,,,,,,,,,
478,2013-06-18,,,,,,,,,,,,,,,comb jelly,15,,,,,,,,,,
479,2013-06-18,,,,,,,,,,,,,,,true jelly,1,,,,,,,,,,
480,2013-06-21,10 am - 1 pm,"Sunny, 80s",,,,,,,,,,,,,American eel,2,,,,,,,,,,
481,2013-06-21,10 am - 1 pm,"Sunny, 80s",,,,,,,,,,,,,Comb jellies,20,,,,,,,,,,
482,2013-06-21,10 am - 1 pm,"Sunny, 80s",,,,,,,,,,,,,asian shore crab,2,,,,,,,,,,
483,2013-06-21,10 am - 1 pm,"Sunny, 80s",,,,,,,,,,,,,Hermit crab,1,,,,,,,,,,
484,2013-06-21,10 am - 1 pm,"Sunny, 80s",,,,,,,,,,,,,Snail,1,,,,,,,,,,
485,2013-06-21,10 am - 1 pm,"Sunny, 80s",,,,,,,,,,,,,Shore shrimp,4,,,,,,,,,,
486,2013-06-22,,,,,,,,,,,,,,,1 oyster toadfish (caught in traffic cone),1,,,,,,,,,,
487,2013-06-22,,,,,,,,,,,,,,,1 black sea bass,1,,,,,,,,,,
488,2013-06-22,,,,,,,,,,,,,,,20 ctenophores,20,,,,,,,,,,
489,2013-06-22,,,,,,,,,,,,,,,1 oyster drill,1,,,,,,,,,,
490,2013-06-22,,,,,,,,,,,,,,,5 Asian shore crabs,5,,,,,,,,,,
491,2013-07-18,,hot and sunny,,,,,,,,,,,,,comb jelly,15,,,,,,,,,,
492,2013-07-18,,hot and sunny,,,,,,,,,,,,,bluefish,7,,,,,,,,,,
493,2013-07-18,,hot and sunny,,,,,,,,,,,,,atlantic silverside,10,,,,,,,,,,
494,2013-07-19,11:30 - 1:00,hot and clear,,,,,,,,,,,,,comb jelly,20,,,,,,,,,,
495,2013-07-19,11:30 - 1:00,hot and clear,,,,,,,,,,,,,atlantic silverside,8,,,,,,,,,,
496,2013-07-19,11:30 - 1:00,hot and clear,,,,,,,,,,,,,mud crab,1,,,,,,,,,,
497,2013-08-01,10am-1pm,rainy!,,,,,,,,,,,,,Atlantic Silverside,17,,,,,,,,,,
498,2013-08-01,10am-1pm,rainy!,,,,,,,,,,,,,Comb jelly,100,,,,,,,,,,
499,2013-08-04,11am-12:30 pm,,,,,,,,,,,,,,moon jelly,25,,,,,,,,,,
500,2013-08-04,11am-12:30 pm,,,,,,,,,,,,,,comb jelly,100+,,,,,,,,,,
501,2013-08-04,11am-12:30 pm,,,,,,,,,,,,,,Blue Crab,1,,,,,,,,,,
502,2013-08-04,11am-12:30 pm,,,,,,,,,,,,,,Asian Shore Crab,5,,,,,,,,,,
503,2013-08-04,11am-12:30 pm,,,,,,,,,,,,,,Atlantic SIlverside,10,,,,,,,,,,
504,2013-08-04,11am-12:30 pm,,,,,,,,,,,,,,Stripped Bass,1,,,,,,,,,,
505,2013-08-17,10:00-11:30,Sunny 80,,,,,,,,,,,,,comb jelly,100+,,,,,,,,,,
506,2013-08-17,10:00-11:30,Sunny 80,,,,,,,,,,,,,stripped bass,1,,,,,,,,,,
507,2013-08-17,10:00-11:30,Sunny 80,,,,,,,,,,,,,northern pipefish,1,,,,,,,,,,
508,2013-08-17,10:00-11:30,Sunny 80,,,,,,,,,,,,,blue crab,2,,,,,,,,,,
509,2013-08-17,10:00-11:30,Sunny 80,,,,,,,,,,,,,shore shrimp,2,,,,,,,,,,
510,2013-09-23,5:00 PM,slightly overcast 70,,,,,,,,,,,,,silverside,2,,,,,,,,,,
511,2013-09-23,5:00 PM,slightly overcast 70,,,,,,,,,,,,,bluecrab,1,,,,,,,,,,
512,2013-09-23,5:00 PM,slightly overcast 70,,,,,,,,,,,,,Shrimp,2,,,,,,,,,,
513,2013-09-23,5:00 PM,slightly overcast 70,,,,,,,,,,,,,mud crab,1,,,,,,,,,,
514,2013-09-23,5:00 PM,slightly overcast 70,,,,,,,,,,,,,comb jelly,50,,,,,,,,,,
515,2013-09-28,,sunny 73,,,,,,,,,,,,,silverside,5,,,,,,,,,,
516,2013-10-01,,,,,,,,,,,,,,,Atlantic SIlverside,2,,,,,,,,,,
517,2014-05-10,11:00am-12:30pm,"Sunny, Mid-70's",Not taken,,,Not taken,Not taken,Not taken,,,Not taken,"Nim, Isa, Kara",,Ctenophora,Comb Jellies,9,,Alive,,,,,,,,
518,2014-05-10,11:00am-12:30pm,"Sunny, Mid-70's",Not taken,,,Not taken,Not taken,Not taken,,,Not taken,"Nim, Isa, Kara",,hemigrapsus sanguineus,Asian Shore Crabs,8,,Alive,,,,,,,,
519,2014-05-10,11:00am-12:30pm,"Sunny, Mid-70's",Not taken,,,Not taken,Not taken,Not taken,,,Not taken,"Nim, Isa, Kara",,,True Jelly Fish,2,,Alive,,,,,,,,
520,2014-06-21,10 am - 11:30 pm,"Sunny, upper 70's",Not taken,,,Not taken,Not taken,Not taken,,,Not taken,"Cynthia, Weston, Shellita",,,Atlantic Silverside,1,,Alive,,,,,,,,
521,2014-06-21,10 am - 11:30 pm,"Sunny, upper 70's",Not taken,,,Not taken,Not taken,Not taken,,,Not taken,"Cynthia, Weston, Shellita",,,Atlantic Tomcod,2,,Alive,,,,,,,,
522,2014-06-21,10 am - 11:30 pm,"Sunny, upper 70's",Not taken,,,Not taken,Not taken,Not taken,,,Not taken,"Cynthia, Weston, Shellita",,,Shore shrimp,3,,Alive,,,,,,,,
523,2014-06-21,10 am - 11:30 pm,"Sunny, upper 70's",Not taken,,,Not taken,Not taken,Not taken,,,Not taken,"Cynthia, Weston, Shellita",,,Flounder,2,,Alive,,,,,,,,
524,2014-06-21,10 am - 11:30 pm,"Sunny, upper 70's",Not taken,,,Not taken,Not taken,Not taken,,,Not taken,"Cynthia, Weston, Shellita",,,Comb Jelly,Numerous,,Alive,,,,,,,,
525,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Menhaden,1,,Alive,,,,,,,,
526,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Alewife,2,,Alive,,,,,,,,
527,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Grubby (Sculpin family),1,,Alive,,,,,,,,
528,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Window pain,1,,Alive,,,,,,,,
529,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Pipe fish,1,,Alive,,,,,,,,
530,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Sea horse,1,,Alive,,,,,,,,
531,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Jvvenilee striped buss,5,,Alive,,,,,,,,
532,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Glass shrimp,1,,Alive,,,,,,,,
533,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Seven spine shrimp,5,,Alive,,,,,,,,
534,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Comb jellies,8,,Alive,,,,,,,,
535,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Hermit crab,1,,Alive,,,,,,,,
536,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Blue crab,3,,Alive,,,,,,,,
537,2014-07-12,2:00pm-3:30pm,"Sunny, 78",not taken,,,do=4,pH=6,S=20,,,Participants =19,"Nim, Shellita, Sarah B",,,Asian Shore Crabs,1,,Alive,,,,,,,,
538,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,,Not taken,Not taken,Not taken,,,10,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,,Atlantic Silverside,11,,Alive,,,,,,,,
539,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,,Not taken,Not taken,Not taken,,,10,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,,Striped Bass,6,,Alive,,,,,,,,
540,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,,Not taken,Not taken,Not taken,,,10,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,,Blue Fish,1,,Alive,,,,,,,,
541,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,,Not taken,Not taken,Not taken,,,10,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,,Northern Kingfish,1,,Alive,,,,,,,,
542,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,,Not taken,Not taken,Not taken,,,10,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,,Green Crab,1,,Alive,,,,,,,,
543,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,,Not taken,Not taken,Not taken,,,10,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,,Blue Crab,1,,Alive,,,,,,,,
544,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,,Not taken,Not taken,Not taken,,,10,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,,Winter Flounder,3,,Alive,,,,,,,,
545,2014-08-02,6:30-8:00pm,Sunny W/Few Clouds 84,Not taken,,,Not taken,Not taken,Not taken,,,10,"Shellita, Sarah B, Chris Bowser, Rebecca Houser, Kathy G",,,Comb jellies,15,,Alive,,,,,,,,
546,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,,,do =4,ph=7,s=22,,,Participants =45,"Isa, Kathy G, Cynthia, Shellita",,,Silver Side,10,,Alive,,,,,,,,
547,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,,,do =4,ph=7,s=22,,,Participants =45,"Isa, Kathy G, Cynthia, Shellita",,,Comb Jelly,4,,Alive,,,,,,,,
548,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,,,do =4,ph=7,s=22,,,Participants =45,"Isa, Kathy G, Cynthia, Shellita",,Stenotomus chrysops,Porgy,3,,Alive,,,,,,,,
549,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,,,do =4,ph=7,s=22,,,Participants =45,"Isa, Kathy G, Cynthia, Shellita",,,Striped Bass,23,,Alive,,,,,,,,
550,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,,,do =4,ph=7,s=22,,,Participants =45,"Isa, Kathy G, Cynthia, Shellita",,,Asian Shore Crabs,3,,Alive,,,,,,,,
551,2014-09-20,1:00-2:30,Partly Cloudy 71,22c,,,do =4,ph=7,s=22,,,Participants =45,"Isa, Kathy G, Cynthia, Shellita",,,Winter Flounder,1,,Alive,,,,,,,,
552,2014-08-23,1:00-2:30,sunny 72,Not taken,,,do=4,ph=7,s=21,,,Participants= 50,"Isa, Fiona, Rashid, Cynthia, Tracy",,,Atlantic Silverside,20,,Alive,,,,,,,,
553,2014-08-23,1:00-2:30,sunny 72,Not taken,,,do=4,ph=7,s=21,,,Participants= 50,"Isa, Fiona, Rashid, Cynthia, Tracy",,,Oyster toadfish,1,,Alive,,,,,,,,
554,2014-08-23,1:00-2:30,sunny 72,Not taken,,,do=4,ph=7,s=21,,,Participants= 50,"Isa, Fiona, Rashid, Cynthia, Tracy",,,Striped Bass,1,,Alive,,,,,,,,
555,2014-08-23,1:00-2:30,sunny 72,Not taken,,,do=4,ph=7,s=21,,,Participants= 50,"Isa, Fiona, Rashid, Cynthia, Tracy",,,comb jelly,20+,,Alive,,,,,,,,
556,2015-05-07,?,?,?,,,?,?,?,,,?,?,,,Glass Shrimp,5,,,,,,,,,,
557,2015-05-07,?,?,?,,,?,?,?,,,?,?,,,Sand Worm,1,,,,,,,,,,
558,2015-05-07,?,?,?,,,?,?,?,,,?,?,,,Asian shore crab,3,,,,,,,,,,
559,2015-05-30,11:35-12:45pm,77 F,68 F,,,4,7,22,,,50,"Eliza, Shellita, Kathy Gurland",,Morone Saxatilis,Striped Bass,1,,Alive,,,,,,,,
560,2015-05-30,11:35-12:45pm,77 F,68 F,,,4,7,22,,,50,"Eliza, Shellita, Kathy Gurland",,Menidia Menidia,Atlantic Silverside,1,,Alive,,,,,,,,
561,2015-05-30,11:35-12:45pm,77 F,68 F,,,4,7,22,,,50,"Eliza, Shellita, Kathy Gurland",,Unknown,Sea Snail,2,,Alive,,,,,,,,
562,2015-05-30,11:35-12:45pm,77 F,68 F,,,4,7,22,,,50,"Eliza, Shellita, Kathy Gurland",,Palaemonetes,Ghost Shrimp,3,,Alive,,,,,,,,
563,2015-06-09,12:25,78 F,Not Taken,,,do 5,pH 7,s 21,,,20 P,"Nim, Isa, Krista, Anita, Maria M, Maria GM",,Morone Saxatilis,Striped Bass,9,,Alive,,,,,,,,
564,2015-06-09,12:25,78 F,Not Taken,,,do 5,pH 7,s 21,,,20 P,"Nim, Isa, Krista, Anita, Maria M, Maria GM",,Botryllus Schlosseri,Golden Star Colonial Tunicate,1,,Alive,,,,,,,,
565,2015-06-09,12:25,78 F,Not Taken,,,do 5,pH 7,s 21,,,20 P,"Nim, Isa, Krista, Anita, Maria M, Maria GM",,Mytilus edulis,Blue Muscle,1,,Alive,,,,,,,,
566,2015-06-11,11:10,79 F,Not Taken,,,4,pH 7,25,,,25 P,"Nim, Isa, Krista, Anita, Maria M, Darby",,Botryllus Schlosseri,colonial tunicate,1,,Alive,,,,,,,,
567,2015-06-11,11:10,79 F,Not Taken,,,4,pH 7,25,,,25 P,"Nim, Isa, Krista, Anita, Maria M, Darby",,Morone Saxatilis,striped bass,8,,Alive,,,,,,,,
568,2015-06-11,11:10,79 F,Not Taken,,,4,pH 7,25,,,25 P,"Nim, Isa, Krista, Anita, Maria M, Darby",,Hippocampus,pipe fish,1,,Alive,,,,,,,,
