Sampling Location,Duplicate Sample,Sample Date,Sample Time,Weather Condition (Dry or Wet),Top Sample Temperature (ºC),Bottom Sample Temperature (ºC),Site Actual Depth (ft),Top Sample Depth(ft),Bottom Sample Depth (ft),Top Salinity  (psu),Bottom Salinity  (psu),Top Conductivity (S/m),Bottom Conductivity (S/m),"CTD (conductivity, temperature, depth profiler) Top Dissolved Oxygen (mg/L)","CTD (conductivity, temperature, depth profiler) Bottom Dissolved Oxygen (mg/L)",Percentage O2 Saturation Top Sample,Percentage O2 Saturation Bottom sample,Light Trans (% transparency) Top Sample,Light Trans (% transparency) Bottom Sample,Top Sigma-T (kg/m3),Bottom Sigma-T (kg/m3),Top Fluorometer (mg/m3),Bottom Fluorometer mg/m3,"CTD (conductivity, temperature, depth profiler) PH Top Sample","CTD (conductivity, temperature, depth profiler) PH Bottom Sample",Top Sample Photosysthetically Active Radiation Reference (400-700nm light (uE/S),Top Sample Par (uE/S m2),Bottom Sample Par uE/S (uE/S m2),Oxidation Reduction Potential (mV) Top Sample,Oxidation Reduction Potential (mV) Bottom Sample,Current Speed (knot),Current Direction (Current Direction),Wind Speed (mph),Wind Direction (Wind Direction),Sea State ,Winkler Method Top Dissolved Oxygen (mg/L),Winkler Method Bottom Dissolved Oxygen (mg/L),Secchi Depth (ft),Top PH,Bottom PH,Top Total Coliform Cells/100 mL,Top Bottom Coliform Cells/100 mL,Fecal Coliform Top Sample Less Than or Greater Than Result,Fecal Coliform Bottom Sample Less Than or Greater Than Result,Top Fecal Coliform Bacteria (Cells/100mL),Bottom Fecal Coliform Bacteria (Cells/100mL),Enterococcus Top Sample Less Than or Greater Than Result,Enterococcus Bottom Sample Less Than or Greater Than Result,Top Enterococci Bacteria (Cells/100mL),Bottom Enterococci Bacteria (Cells/100mL),Top Nitrate/Nitrite (mg/L),Bottom Nitrate/Nitrite (mg/L),Top Ammonium (mg/L),Bottom Ammonium (mg/L),Top Ortho-Phosphorus (mg/L),Bottom Ortho-Phosphorus (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Bottom Total Kjeldhal Nitrogen (mg/L),Top Silica (mg/L),Bottom Silica (mg/L),Total Phosphorus(mg/L),Bottom Total Phosphorus (mg/L),Top Total Suspended Solid (mg/L),Bottom Total Suspended Solid (mg/L),Top Active Chlorophyll 'A' (µg/L),Bottom Active Chlorophyll 'A' (µg/L),Chlorophyll Top Sample Field (u/L (YSI),Chlorophyll Bottom Sample Field (u/L (YSI),TOP Total Organic Carbon (mg/L),Top Dissolved Organic Carbon (mg/L),Bottom Dissolved Organic Carbon (mg/L),Top Dissolved Organic Carbon YSI (mg/L),Bottom Dissolved Organic Carbon YSI (mg/L),Top Sample Depth  YSI (ft),Bottom Depth  YSI (ft),Top Sample Salinity YSI (psu),Bottom Sample Salinity YSI (psu),Top Sample Temperature  YSI (ºC),Bottom Sample Temperature YSI (ºC),Top Bacteria # per C.C. 1909,Bottom Bacteria # per C.C. 1909,Top Beam Attenuation Coefficient,Bottom Beam Attenuation Coefficient,Top Five-Day Biochemical Oxygen Demand(mg/L),Bottom Five-Day Biochemical Oxygen Demand(mg/L),Top PCB Plate Count (Thous/mL) ,Bottom PCB plate Count (Thous/mL) ,Top Coliform (Log No/mL),Bottom Coliform (Log No/mL),Oakwood BOD Top Sample (mg/L) ,Oakwood BOD Bottom Sample(mg/L),Oakwood  Total Suspended Solid Top Sample  (mg/L),Oakwood Total Suspended Solid Bottom Sample (mg/L),Top Turbidity( Nephelometric Turbidity Units),Bottom Turbidity YSI (Nephelometric Turbidity Units),Sampling Comment,Long,Lat,Type
N5,,6/4/2015,4:20 PM,Dry,17,15.49,48,3,46,18.82,24.63,2.56,3.16,7.18,6.79,83.18,79.04,57.43,49.33,13.14,17.9,2.9644,2.9927,,,,1082.7,0,235.529,238.398,2.6,S,13,S,1,7.78,7.34,2,7.67,7.7,,,,,18,,E,,8,,0.136,,0.112,,,,0.729,,1.766,1.046,0.118,,23,40,3.96,,,,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,Very Rough.,-74.03,40.7045,Permanent
N5,,8/24/1955,10:50 AM,,24.4,23.9,49,,,8.4,21.35,,,,,,,,,,,,,,,,,,,,,N,,,,4.4,1.8,,,,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.192,0.144,,,,,,,,,,-74.03,40.7045,Permanent
E2,,8/6/1925,9:50 AM,,21.7,21.7,40,,,24.15,24.15,,,,,,,,,,,,,,,,,,,,,N,,,,1.54,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,11/27/2001,12:50 PM,Wet,11.63,11.73,45,4,41,20.3,24.65,2.42,2.9,,,,,,,15.26,18.61,,,,,,,,,,,SW,4,SW,1,10.49,8.23,4.5,,,,,,,228,,,,46,,0.59,,0.421,,0.13,,1.09,,1.29,,0.172,,2,6.2,1.88,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,6/16/1954,10:35 AM,,16.1,16.1,49,,,22.75,22.75,,,,,,,,,,,,,,,,,,,,,E,,,,4.5,4.8,,,,93,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.05,0.249,,,,,,,,,,-74.03,40.7045,Permanent
E2,,6/20/1939,,,20,19.4,40,,,24.5,24.15,,,,,,,,,,,,,,,,,,,,,,,,,2.53,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.68,1,1,,,,,,,,-73.97,40.735333,Permanent
N5,,7/28/2014,4:37 PM,Wet,24.02,22.53,48,3,42,19.73,25.19,3.11,3.76,6.02,5.06,80.06,67.69,66.54,81.03,12.12,16.64,1.8088,1.0201,,,2110.4,1538.2,0.02,266.24,274.385,1.4,S,18,S,2,6.12,5.09,3,7.48,7.54,,,,,120,,E,,4,,0.302,,0.187,,,,0.605,,1.8,1.37,0.186,,18,19,3.2,,,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,6/29/1950,9:55 AM,,20.6,21.1,40,,,25.9,2.8,,,,,,,,,,,,,,,,,,,,,N,,,,2.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.52,0.26,2,3,,,,,,,,-73.97,40.735333,Permanent
E2,,6/25/2007,12:57 PM,Dry,19.1,18.88,53,4,46,23.19,23.35,3.25,3.25,3.79,3.87,47.09,47.89,,,16,16.17,2.447,2.3806,,,1768.55,144.2,0,,,0.5,W,12,W,1,4.96,4.87,5,7.34,7.34,,,,,20,,,,6,,0.339,,0.556,,0.131,,1.36,,1.372,,0.188,,9.5,10.75,1.68,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,6/11/1952,1:30 PM,,18.3,18.3,49,,,21,21,,,,,,,,,,,,,,,,,,,,,S,,,,4.7,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.58,0.03,1,1,,,,,,,,-74.03,40.7045,Permanent
N5,,8/14/1963,10:15 AM,,22.8,22.8,49,,,24.5,28.7,,,,,,,,,,,,,,,,,,,,,S,,,,2.3,2.3,,,,240,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/28/1965,9:30 AM,,22.2,21.7,40,,,25.2,24.85,,,,,,,,,,,,,,,,,,,,,N,,,,1.2,1.6,,,,5400,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,6/6/1929,4:40 PM,,17.2,16.1,40,,,24.15,25.2,,,,,,,,,,,,,,,,,,,,,N,,,,5.02,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,7/28/1948,12:55 PM,,24.4,23.9,49,,,20.3,22.75,,,,,,,,,,,,,,,,,,,,,N,,,,3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,8,11,1,1,,,,,,,,-74.03,40.7045,Permanent
N5,,8/10/1992,2:34 PM,,22.75,21.05,47,1,10,16.91,25.13,2.63,3.64,,,,,,,10.34,16.99,,,,,,,,,,,S,,,,6.72,5.82,4,7.23,7.26,2300,1100,,,245,82,,,,,0.5,,0.19,,0.078,,,,,,0.12,,29,32,13.4,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.3,,,,,,-74.03,40.7045,Permanent
N5,,5/18/1921,9:30 AM,,14,14,49,,,19.6,22.05,,,,,,,,,,,,,,,,,,,,,S,,,,5.41,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,10/1/1992,1:26 PM,,18.36,18.29,26,1,13,22.73,23.01,3.14,3.17,,,,,,,15.82,16.05,,,,,,,,,,,W,,,,5.87,5.67,6,7.58,7.58,,,,,,,,,,,0.45,,0.42,,0.12,,,,,,0.16,,26,30,3.1,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1,,,,,,-73.97,40.735333,Permanent
N5,,9/30/1969,10:40 AM,,19.4,19.4,,,,22,22,,,,,,,,,,,,,,,,,,,,,N,,,,4,3.5,,,,79000,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2,,,,,,-74.03,40.7045,Permanent
N5,,1/14/2008,2:33 PM,Wet,4.09,5.99,50,5,49,9.74,15.53,1.01,1.64,,,,,,,7.74,12.2,,,,,,,,,,0.8,SW,3,SW,1,13.04,11.73,1.5,7.71,7.92,,,,,180,,,,67,,0.472,,0.264,,0.058,,0.776,,3.43,,0.102,,8,8.6,0.8,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/10/1936,10:55 AM,,26.7,25,49,,,25.2,25.9,,,,,,,,,,,,,,,,,,,,,N,,,,2.45,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,8/18/1965,10:20 AM,,23.9,23.3,49,,,26.25,27.65,,,,,,,,,,,,,,,,,,,,,N,,,,2.1,3.5,,,,490,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,8/27/1924,10:45 AM,,24.4,23.3,40,,,24.5,24.5,,,,,,,,,,,,,,,,,,,,,S,,,,2.04,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,10/4/1984,12:02 PM,,16.7,16.7,,,,18.6,23.1,,,,,,,,,,,,,,,,,,,,,S,,,,7.3,6.4,,,,23000,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.3,,,,,,-74.03,40.7045,Permanent
N5,,10/4/1984,12:02 PM,,16.7,16.7,,,,18.6,23.1,,,,,,,,,,,,,,,,,,,,,S,,,,7.3,6.4,,,,23000,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.3,,,,,,-74.03,40.7045,Permanent
E2,,7/6/2015,9:18 AM,Dry,20.82,20.71,50,3,47,22.74,22.92,3.31,3.33,4.73,4.69,60.39,59.78,74.36,74.98,15.23,15.4,1.3471,1.4123,,,,3631.4,0,338.083,345.034,,N,calm,,1,5.22,5.2,3.5,7.15,7.16,,,,,3,,E,,4,,0.283,,0.267,,,,0.609,,1.267,1.269,0.137,,14,17,2.22,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,7/19/1961,10:05 AM,,22.2,21.7,40,,,25.9,25.55,,,,,,,,,,,,,,,,,,,,,SL,,,,1,1,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,6/6/2011,4:29 PM,Dry,17.59,14.79,48,3,44,18.26,24.95,2.53,3.15,7.38,7.42,86.42,85.46,59,81.12,12.59,18.29,9.1272,6.2949,7.73,7.84,1829.5,,,241.22,245.116,1.7,S,4,NNW,1,7.19,7.34,1.5,7.46,7.56,,,,,43,,<,,1,,0.227,,0.24,,,,0.626,,1.73,,0.056,,20,14,5.3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/20/2015,10:00 AM,Dry,24.83,22.34,54,4,44,13.4,24.35,2.22,3.63,5.51,4.78,71.69,63.33,50.82,59.97,7.15,16.06,1.1518,1.381,,,,1863.4,0,272.703,279.223,0.8,S,calm,0,1,5.77,5.61,1.5,7.42,7.44,,,,,57,,,,6,,0.315,,0.313,,,,0.442,,1.283,1.083,0.078,,24,29,1.84,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,10/31/1990,2:20 PM,,15,16,42,,,16,19,,,,,,,,,,,,,,,,,,,,,S,,,,7,6,3.5,,,,,,,,,,,,,0.33,,0.24,,0.071,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,9/5/1973,9:50 AM,,25.6,25,,,,18.7,23.2,,,,,,,,,,,,,,,,,,,,,S,,,,2.8,2.3,,,,79000,49000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.9,,,,,,-74.03,40.7045,Permanent
N5,,8/21/2006,2:32 PM,Dry,24.43,23.14,45,6,41,17.51,25.35,2.81,3.83,6.26,4.78,83.1,64.86,,,10.34,16.59,,,,,,,,77.539,91.365,1.8,S,8,N,1,6.25,5.54,4.5,7.44,7.46,,,,,8,,,,2,,0.321,,0.286,,0.112,,0.902,,1.54,,0.126,,10.6,6.4,6.73,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,8/3/1960,10:10 AM,,23.9,23.3,49,,,20.65,27.65,,,,,,,,,,,,,,,,,,,,,S,,,,2.3,2.5,,,,1100,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/8/2002,5:11 PM,Dry,,,50,,,,,,,,,,,,,,,,,,,,,,,,,E,5,W,1,5.05,4.34,6,7.05,7.26,,,,,39,,,,4,,0.315,,0.422,,,,1,,1.26,,0.196,,9.9,29.8,1.94,,,,,,,,,,,27.8,27.8,22.7,22.3,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,7/28/1925,9:45 AM,,23.9,22.8,49,,,14.35,23.8,,,,,,,,,,,,,,,,,,,,,S,,,,3.12,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,10/31/1995,1:28 PM,,15.74,15.27,54,6.56,52.48,14.34,24.67,1.94,3.15,,,,,55.94,22.36,9.97,17.97,0.66,0.69,,,5.81,15.17,,,,,N,11,E,2,6.87,6.22,3,7.53,7.64,,,,,,,,,,,0.66,,0.28,,0.1,,,,,,0.14,,13,27,1.7,,,,,,,,,,,,,,,,,,,1.3,1.6,,,,,,,,,8.1,17.9,,-74.03,40.7045,Permanent
E2,,6/28/1935,12:05 PM,,21.1,21.1,40,,,25.2,25.2,,,,,,,,,,,,,,,,,,,,,S,,,,1.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,9/15/1967,9:50 AM,,20,20,40,,,26.95,26.95,,,,,,,,,,,,,,,,,,,,,S,,,,4.3,3.2,,,,790,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,8/10/1955,10:35 AM,,23.3,23.3,49,,,26.25,28.35,,,,,,,,,,,,,,,,,,,,,NW,,,,1.9,1.6,,,,460,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.145,0.201,,,,,,,,,,-74.03,40.7045,Permanent
E2,,1/20/1914,11:05 AM,,1,1,40,,,27.65,29.05,,,,,,,,,,,,,,,,,,,,,FL,,,,8.63,9.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,7/24/1923,11:55 AM,,21.1,21.1,40,,,26.6,27.3,,,,,,,,,,,,,,,,,,,,,S,,,,1.07,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,9/18/1951,10:45 AM,,21.7,21.7,49,,,24.15,25.2,,,,,,,,,,,,,,,,,,,,,N,,,,1.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.41,0.66,2,2,,,,,,,,-74.03,40.7045,Permanent
E2,,8/15/1940,9:55 AM,,23.9,23.9,40,,,24.85,24.85,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.35,1,1,,,,,,,,-73.97,40.735333,Permanent
E2,,9/8/2015,9:18 AM,Dry,24.79,24.73,48,3,50,25.28,25.33,3.95,3.95,4.17,4.15,58.11,57.72,78.57,78.67,16.08,16.13,2.2724,2.6432,,,,2470.8,0,300.225,304.571,1.7,SW,0,0,1,4.24,4.66,4,7.36,7.38,,,,,7,,,,13,,0.407,,0.301,,,,0.73,,2.17,2.121,0.2,,19,17,2.39,,,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,8/21/2006,2:05 PM,Dry,23.79,23.74,48,5,43,24.23,24.29,3.73,3.73,3.2,3.61,43.57,49.2,,,15.57,15.63,,,,,,,,87.037,92.786,2,W,4,SW,1,4.16,4.26,6,7.18,7.26,,,,,3,,,,1,,0.316,,0.469,,0.175,,1.52,,1.726,,0.217,,19.5,14.25,3.2,,,,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,10/3/2011,10:38 AM,Wet,20.8,20.78,47,3,41,18.39,19.38,2.73,2.86,4.77,4.6,59.51,57.74,69.72,68.74,11.95,12.7,35.2438,37.1298,8.46,8.44,960.25,66.52,0,115.778,117.173,1.4,NE,CALM,,1,5.47,5.06,3.5,7.67,7.28,,,,,158,,E,,120,,0.509,,0.38,,,,0.634,,2.76,,0.199,,8,6,1,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,9/17/1956,10:10 AM,,20.6,20,40,,,25.2,25.55,,,,,,,,,,,,,,,,,,,,,S,,,,2.2,2.3,,,,150,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.096,0.079,,,,,,,,,,-73.97,40.735333,Permanent
N5,,8/26/1959,9:25 AM,,23.9,23.3,49,,,25.55,27.65,,,,,,,,,,,,,,,,,,,,,S,,,,1.6,1.8,,,,460,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/7/1965,9:03 AM,,21.1,21.1,40,,,28.35,29.4,,,,,,,,,,,,,,,,,,,,,SW,,,,1.4,1.5,,,,1700,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,7/9/2001,12:47 PM,Dry,21.45,19.23,46,6,43,20.18,25.73,3.01,3.58,,,,,,,13.14,17.89,,,,,,,,,,,N,6,SW,1,5.6,5.3,5,7.61,7.54,,,,,43,,,,6,,0.199,,0.298,,0.09,,0.811,,0.871,,0.139,,9.2,4.2,1.66,,,,3.14,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,6/10/1937,10:40 AM,,21.1,20,49,,,22.4,23.8,,,,,,,,,,,,,,,,,,,,,SL,,,,2.9,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,8/10/1911,1:30 PM,,23,,,1,,,,,,,,,,,,,,,,,,,,,,,,Ebb,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,8/25/1915,11:02 AM,,23.3,23.3,40,,,21.35,21.35,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,9/23/2013,4:33 PM,Wet,19.72,18.82,46,3,42,23.04,26.78,3.27,3.67,6.4,6.34,80.19,80,12.21,7.12,15.74,18.8,19.0929,20.3152,,,928.56,894.56,0.05,,,2.2,S,3,N,1,5.84,5.84,3,7.65,7.67,,,,,60,,E,,4,,0.461,,0.352,,,,0.584,,2.88,,0.157,,6,8,5,,,,,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,6/21/1950,11:15 AM,,18.3,18.3,40,,,24.5,25.2,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.7,0.39,2,2,,,,,,,,-73.97,40.735333,Permanent
E2,,9/17/1930,11:40 AM,,25,24.4,40,,,26.6,27.3,,,,,,,,,,,,,,,,,,,,,SL,,,,0.21,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,10/19/1998,1:30 PM,,17.78,17.7,53,3.28,42.64,23.08,23.06,3.14,3.13,4.84,4.85,58.55,58.59,68.49,67.66,16.22,16.22,3.79,3.91,,,-99,-99,,,,,S,5,N,1,6.45,6.04,4.5,7.22,7.26,,,,,,,,,,,0.688,,0.507,,,,1.12,,1.92,,0.228,,10,10,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,9/5/1973,9:26 AM,,25.6,25,,,,24.1,25.2,,,,,,,,,,,,,,,,,,,,,S,,,,0.8,0.8,,,,240000,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,1.8,,,,,,-73.97,40.735333,Permanent
E2,,8/2/2005,12:14 PM,Dry,24.28,24.29,51,3,41,23.24,23.24,3.62,3.62,,,42.36,42.64,13.53,14.42,14.69,14.68,1.91,1.93,8.27,8.27,1077.8,62.24,0.07,92.7,100.95,1.4,S,0,0,1,,,5,7.07,7.14,,,,,,,,,1,,0.462,,0.46,,0.161,,0.958,,1.94,,0.216,,26.75,23.25,1.9,,,,,3.32,,3.1,3.12,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,7/24/1957,9:10 AM,,22.2,21.7,40,,,27.3,27.65,,,,,,,,,,,,,,,,,,,,,S,,,,2.8,3,,,,1100,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0.194,0.198,,,,,,,,,,-73.97,40.735333,Permanent
E2,,6/14/1972,10:15 AM,,17.2,17.2,,,,20.7,20.7,,,,,,,,,,,,,,,,,,,,,N,,,,4.1,4,,,,170000,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.2,,,,,,-73.97,40.735333,Permanent
E2,,9/11/1944,,,22.2,22.2,40,,,28,28,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0.68,2,2,,,,,,,,-73.97,40.735333,Permanent
E2,D,9/6/2005,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68,5.53,9,,,,,,,2,,,,1,,0.392,,0.344,,0.133,,0.882,,1.7,,0.162,,11,22.25,7.92,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,7/13/1921,10:35 AM,,22,22,40,,,25.2,25.2,,,,,,,,,,,,,,,,,,,,,S,,,,0.76,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,10/2/1957,10:30 AM,,20,19.4,40,,,27.65,28.35,,,,,,,,,,,,,,,,,,,,,S,,,,1.1,1.7,,,,1100,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0.197,0.202,,,,,,,,,,-73.97,40.735333,Permanent
N5,,7/14/1921,8:55 AM,,24,23.5,49,,,21.7,23.45,,,,,,,,,,,,,,,,,,,,,S,,,,1.34,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,8/3/2009,3:37 PM,Wet,23.89,22.9,47,3,46,20.11,21.5,3.15,3.29,3.53,3.2,47.04,42.28,,,12.44,13.76,4.8172,3.7949,7.91,7.91,1693.5,114.97,0,236.204,244.268,1.4,N,3,E,1,3.37,3.38,4,7,6.97,,,,,530,,E,,20,,0.381,,0.44,,,,0.811,,1.7,,0.176,,9.8,6.4,1.6,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,10/17/2016,9:12 AM,Dry,18.13,18.13,49,3,51,25.48,25.52,3.5,3.5,6.14,6.14,75.8,75.8,60.4,60.3,17.97,18,1.66,1.62,7.91,7.91,1532,520,0,371.99,384.45,1,N,9,W,1,6.79,6.58,2.5,7.63,7.64,,,,,8,,,,5,,0.546,,0.453,,,,0.507,,2.092,2.174,0.183,,21,22,2.36,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,7/24/1990,10:33 AM,,23.1,22.6,49,,,22,24.9,,,,,,,,,,,,,,,,,,,,,N,,,,3.9,5.2,5.5,,,700,330,,,845,450,,,,,0.33,,0.44,,0.098,,,,,,0.14,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,-74.03,40.7045,Permanent
N5,,8/25/1916,9:05 AM,,24.4,23.9,49,,,23.1,24.15,,,,,,,,,,,,,,,,,,,,,EB,,,,3.09,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,10/18/1917,10:45 AM,,14,13.6,49,,,27.65,28,,,,,,,,,,,,,,,,,,,,,EB,,,,4.98,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
